Origem,Destino
AC,MS
AC,RO
AL,BA
AL,CE
AL,GO
AL,PA
AL,PB
AL,PE
AL,SE
AM,AP
AM,GO
AM,MT
AM,PA
AM,RO
AM,RR
AM,TO
AP,PA
AP,PI
AP,RR
AP,TO
BA,DF
BA,ES
BA,MG
BA,PA
BA,PI
BA,SE
BA,TO
CE,PA
CE,PE
CE,PI
CE,SE
CE,TO
DF,ES
DF,GO
DF,MA
DF,MT
DF,MS
DF,RO
DF,TO
ES,MG
ES,RJ
GO,MT
GO,MS
GO,MG
GO,PA
GO,PR
GO,PI
GO,RJ
GO,RN
GO,RS
GO,RR
GO,SP
GO,TO
MA,PA
MA,PR
MA,PI
MT,MS
MT,PA
MT,PB
MT,RO
MS,PR
MS,PI
MS,RS
MS,SP
MG,PI
MG,RJ
MG,SP
PA,TO
PB,PE
PB,PI
PB,RN
PR,SC
PR,SP
PE,RN
PI,RN
PI,SE
PI,TO
RJ,RS
RJ,SP
RN,SE
RN,TO
RO,RR
RO,TO
RS,SC
SC,SP
SE,SP
